concurrency,method,decode,source_url
1,base,29.47,configs/gemma-4-26b-a4b-it-vllm-nvfp4-c1/
2,base,61.97,configs/gemma-4-26b-a4b-it-vllm-nvfp4-c2/
4,base,104.92,configs/gemma-4-26b-a4b-it-vllm-nvfp4-c4/
8,base,171.69,configs/gemma-4-26b-a4b-it-vllm-nvfp4-c8/
16,base,273.61,configs/gemma-4-26b-a4b-it-vllm-nvfp4-c16/
32,base,421.13,configs/gemma-4-26b-a4b-it-vllm-nvfp4/
1,MTP,57.24,configs/gemma-4-26b-a4b-it-vllm-nvfp4-mtp-c1/
2,MTP,97.86,configs/gemma-4-26b-a4b-it-vllm-nvfp4-mtp-c2/
4,MTP,165.39,configs/gemma-4-26b-a4b-it-vllm-nvfp4-mtp-c4/
8,MTP,267.13,configs/gemma-4-26b-a4b-it-vllm-nvfp4-mtp-c8/
16,MTP,436.71,configs/gemma-4-26b-a4b-it-vllm-nvfp4-mtp-c16/
32,MTP,696.98,configs/gemma-4-26b-a4b-it-vllm-nvfp4-mtp/
1,EAGLE3,50.07,configs/gemma-4-26b-a4b-it-vllm-nvfp4-eagle3-c1/
2,EAGLE3,88.2,configs/gemma-4-26b-a4b-it-vllm-nvfp4-eagle3-c2/
4,EAGLE3,143.9,configs/gemma-4-26b-a4b-it-vllm-nvfp4-eagle3-c4/
8,EAGLE3,230.18,configs/gemma-4-26b-a4b-it-vllm-nvfp4-eagle3-c8/
16,EAGLE3,376.25,configs/gemma-4-26b-a4b-it-vllm-nvfp4-eagle3-c16/
32,EAGLE3,596.32,configs/gemma-4-26b-a4b-it-vllm-nvfp4-eagle3/
1,diffusion,116.04,configs/diffusiongemma-26b-a4b-vllm-nvfp4-c1/
2,diffusion,155.71,configs/diffusiongemma-26b-a4b-vllm-nvfp4-c2/
4,diffusion,184.07,configs/diffusiongemma-26b-a4b-vllm-nvfp4-c4/
8,diffusion,199.18,configs/diffusiongemma-26b-a4b-vllm-nvfp4-c8/
16,diffusion,199.29,configs/diffusiongemma-26b-a4b-vllm-nvfp4-c16/
32,diffusion,200.66,configs/diffusiongemma-26b-a4b-vllm-nvfp4/
